transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
2128,246,425.94285815839186,Online,Clothing,US,9,0.16887919541996305,0.24070480878451597,0
4851,559,70.09770804282064,POS,Grocery,DE,12,0.21471719319231963,0.13115958838740432,0
5250,307,157.5065407471183,ATM,Travel,TR,21,0.23987993529506585,0.05217059198128237,0
2385,167,5.141232727287364,QR,Grocery,TR,7,0.12470363037568002,0.07153653568620139,0
2648,517,151.51877791725158,POS,Food,FR,21,0.14630397387469074,0.1456464398798189,0
2474,517,113.43854625320843,Online,Clothing,UK,11,0.03506015786168006,0.24631364158477942,0
4195,192,43.32499299788444,ATM,Grocery,UK,16,0.07965382654065357,0.1032715197169488,0
2389,25,7.455149591316495,QR,Food,UK,23,0.033812842590365336,0.12126488378820192,0
8661,312,71.70659424208826,Online,Electronics,UK,5,0.45562894346562266,0.30235363492579226,0
5682,821,98.99511550799322,QR,Travel,TR,3,0.05797426059663011,0.07981727145877301,0
6028,481,13.008690077280969,QR,Travel,FR,16,0.010991590432877786,0.12865252816442918,0
7654,713,130.24898281108904,POS,Grocery,TR,15,0.011677219836428762,8.804990376776178e-06,0
892,154,37.34915332717958,POS,Travel,DE,2,0.04726679938304593,0.6669658338135223,0
1256,663,338.4116249292498,Online,Travel,DE,12,0.3750347617608182,0.4088613294894737,0
342,804,445.70786407927596,ATM,Grocery,DE,8,0.29515073206186904,0.20782556035194638,0
8001,922,340.96233517851186,POS,Clothing,DE,10,0.08817424884308502,0.16353022567298267,1
3453,87,674.9787522497495,ATM,Travel,US,7,0.2520186096297499,0.4495393350767437,0
9018,416,91.21181861673954,Online,Grocery,UK,20,0.08028828280298007,0.17149534804005792,0
9083,555,473.6808114269838,POS,Electronics,UK,13,0.736186852835851,0.7307905134137725,0
3807,850,113.47815445358538,ATM,Travel,UK,18,0.15158323184819364,0.08917366127094915,1
965,627,488.7581886346464,ATM,Clothing,US,5,0.5544965344789774,0.4225951439992284,1
1771,918,31.695189953429196,QR,Travel,FR,8,0.02276329993312562,0.005518808171418145,0
8949,815,43.24825006937775,Online,Grocery,US,12,0.12461253367119257,0.09479487466667645,0
7003,228,382.2011517222384,POS,Electronics,UK,23,0.42443504023924267,0.08542688687836267,0
7111,912,5.778869329727613,QR,Travel,TR,10,0.026832467803117023,0.352372535499992,0
8795,254,115.3322070757905,POS,Clothing,US,7,0.0827702760267686,0.3794903258490755,0
8544,964,141.2944534246415,QR,Clothing,TR,17,0.5776677620857403,0.15470916520998723,0
2295,479,47.08504436761605,ATM,Grocery,TR,10,0.032630410437575814,0.06743777315211304,0
4925,969,3.0357405992225375,Online,Clothing,TR,21,0.10975773762566382,0.1712806188012633,0
6565,275,263.5529771995838,QR,Electronics,DE,10,0.28692190906330034,0.18243627432192874,0
8358,46,155.84147165115667,ATM,Travel,FR,6,0.21596675744948682,0.24836932820903387,0
7432,12,52.33670486349641,ATM,Grocery,FR,19,0.08206411123994033,0.16646397120642065,1
9955,507,83.63972526286642,Online,Electronics,UK,19,0.00759340150798539,0.04473679882970671,0
6382,816,335.605288884793,Online,Clothing,FR,22,0.1714558046196897,0.31206189074877067,0
1865,946,107.57610292319546,POS,Food,FR,16,0.08336288508860705,0.2553352436445781,0
488,359,100.12071548765219,ATM,Travel,US,19,0.07470812732947868,0.06289092957876728,0
4419,636,66.23468705008304,Online,Electronics,TR,20,0.045610307215085785,0.06432065340053586,0
807,100,3.9125259511824027,ATM,Food,US,16,0.449953653781886,0.17064686487875833,0
8762,403,10.377187938962285,QR,Grocery,US,14,0.061442712372593765,0.09764233272761086,0
9849,851,106.32146453478285,ATM,Electronics,DE,16,0.10336943283470736,0.1327959314283709,0
