transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud,month
2128,246,424.7652590586554,Online,Clothing,US,9.0,0.22574736078520533,0.2972206100358011,0,7
4851,559,70.13565573446773,POS,Grocery,DE,12.0,0.2702135880351484,0.18591798042632318,0,7
5250,307,170.02357446955855,ATM,Travel,TR,21.0,0.2952004505256959,0.10851848622854693,0,7
2385,167,16.46181691358898,QR,Grocery,TR,7.0,0.18167571812841524,0.12736955332934452,0,7
2648,517,153.49920922066534,POS,Food,FR,21.0,0.20213386855587165,0.20064146660693238,0,7
2474,517,110.82514483906137,Online,Clothing,UK,11.0,0.09321798210628912,0.30497689645939563,0,7
4195,192,53.59766704618379,ATM,Grocery,UK,16.0,0.1352535446856735,0.15884459355499808,0,7
2389,25,9.491456198535364,QR,Food,UK,23.0,0.09162165478590256,0.17753683362538974,0,7
8661,312,71.35464632545585,Online,Electronics,UK,5.0,0.5112410823567457,0.3602098512534137,0,7
5682,821,87.23484824434667,QR,Travel,TR,3.0,0.11350206865138843,0.13751873337828713,0,7
6028,481,22.181219348903554,QR,Travel,FR,16.0,0.06786836841882533,0.1843942047237046,0,7
7654,713,131.60894587023787,POS,Grocery,TR,15.0,0.06790448048436598,0.05501251732532993,0,7
892,154,38.52353154438204,POS,Travel,DE,2.0,0.10202877200160801,0.723792818452377,0,7
1256,663,326.55903572968634,Online,Travel,DE,12.0,0.4330089254615691,0.46576245340761624,0,7
342,804,447.7665451964226,ATM,Grocery,DE,8.0,0.35296669676430154,0.26426091103760957,0,7
8001,922,349.6648053355553,POS,Clothing,DE,10.0,0.14622653559953455,0.2196518659126788,1,7
3453,87,678.865565889408,ATM,Travel,US,7.0,0.31018388143050274,0.5078070935092367,0,7
9018,416,81.08480955605533,Online,Grocery,UK,20.0,0.1370391464888252,0.22905520424191514,0,7
9083,555,464.7483009678761,POS,Electronics,UK,13.0,0.7896691609111024,0.7865465158629845,0,7
3807,850,122.51178431580215,ATM,Travel,UK,18.0,0.2085921390961446,0.14504728819139384,1,7
965,627,482.0084984216885,ATM,Clothing,US,5.0,0.6095803473911791,0.4772975594878073,1,7
1771,918,20.517904229277654,QR,Travel,FR,8.0,0.07814142982744901,0.06327444712506353,0,7
8949,815,31.172701343906304,Online,Grocery,US,12.0,0.17886780341212707,0.15146499530046392,0,7
7003,228,384.1793322579041,POS,Electronics,UK,23.0,0.4812689278537591,0.13979242004918652,0,7
7111,912,12.752190453522594,QR,Travel,TR,10.0,0.08449311712743016,0.41035403577410545,0,7
8795,254,118.28213315001653,POS,Clothing,US,7.0,0.13908289797835421,0.43358779406001324,0,7
8544,964,136.53534926634683,QR,Clothing,TR,17.0,0.6321052790613693,0.20691195820537364,0,7
2295,479,41.67450347288225,ATM,Grocery,TR,10.0,0.08723781144667833,0.12341176261781003,0,7
4925,969,0.3255916417115263,Online,Clothing,TR,21.0,0.16353962459230906,0.226094788878195,0,7
6565,275,262.50414845357227,QR,Electronics,DE,10.0,0.34342162050960107,0.23528067057738553,0,7
8358,46,159.45748391299674,ATM,Travel,FR,6.0,0.2722588365963494,0.3063519250225755,0,7
7432,12,53.44588260868181,ATM,Grocery,FR,19.0,0.13787170306913027,0.22230642037030646,1,7
9955,507,75.57470523222246,Online,Electronics,UK,19.0,0.06318974937443045,0.10043198429390043,0,7
6382,816,346.09931933214006,Online,Clothing,FR,22.0,0.22768606522830034,0.36663919865296013,0,7
1865,946,94.28563489482086,POS,Food,FR,16.0,0.13910602998461039,0.31049770889533634,0,7
488,359,96.07425176747056,ATM,Travel,US,19.0,0.1324217561663337,0.1155814369647338,0,7
4419,636,56.482688685871224,Online,Electronics,TR,20.0,0.09799256612738,0.1191755269393799,0,7
807,100,16.63647103707587,ATM,Food,US,16.0,0.506798415313364,0.2254194347345541,0,7
8762,403,16.739274555697992,QR,Grocery,US,14.0,0.11793852128612498,0.15412423422078714,0,7
9849,851,122.69119233813957,ATM,Electronics,DE,16.0,0.15990606547671943,0.18971964201836541,0,7
4812,692,161.24649968969777,POS,Food,TR,15.0,0.1147044119203699,0.36159611889492377,0,7
5904,273,18.30210529384449,QR,Food,FR,21.0,0.2384362332768043,0.06510601289331562,0,7
5703,955,166.45504095491026,QR,Travel,TR,17.0,0.40318328258571406,0.06362467299871935,0,7
