transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud,month
2128,246,413.11115576194504,Online,Clothing,US,9.0,0.23336249569963063,0.30435179337823015,0,8
4851,559,71.78557576635063,POS,Grocery,DE,12.0,0.2778754599368922,0.19511505920321992,0,8
5250,307,153.0988713429564,ATM,Travel,TR,21.0,0.3039879705078051,0.1148836775299269,0,8
2385,167,0.0,QR,Grocery,TR,7.0,0.18973369899264803,0.13029925603834397,0,8
2648,517,151.5366195009836,POS,Food,FR,21.0,0.20962955015043358,0.20848240308820049,0,8
2474,517,118.6010334175402,Online,Clothing,UK,11.0,0.09903034719433254,0.3082820242232793,0,8
4195,192,47.076083677941014,ATM,Grocery,UK,16.0,0.14403747701114616,0.16553177368280045,0,8
2389,25,15.962422928114869,QR,Food,UK,23.0,0.09963044205927163,0.18575928965514338,0,8
8661,312,67.43070573535664,Online,Electronics,UK,5.0,0.5198548526122595,0.3683710929190079,0,8
5682,821,100.28316731480817,QR,Travel,TR,3.0,0.12389955629441785,0.1435866496372932,0,8
6028,481,6.284074397505908,QR,Travel,FR,16.0,0.07413552641053384,0.1938029827149222,0,8
7654,713,133.71210595627537,POS,Grocery,TR,15.0,0.07448765273383459,0.06403115896677615,0,8
892,154,42.93248432362948,POS,Travel,DE,2.0,0.11096489993993403,0.730012758402524,0,8
1256,663,334.70213153041806,Online,Travel,DE,12.0,0.4401473062330207,0.4728772841582853,0,8
342,804,445.0070028119658,ATM,Grocery,DE,8.0,0.3580274180568209,0.27212057278683627,0,8
8001,922,344.5288486518323,POS,Clothing,DE,10.0,0.15210471412868473,0.22730036224567846,1,8
3453,87,669.2939366443769,ATM,Travel,US,7.0,0.31800184718659885,0.5138945531507128,0,8
9018,416,84.75959006656845,Online,Grocery,UK,20.0,0.14536172361265243,0.2359919636221416,0,8
9083,555,478.95877397012873,POS,Electronics,UK,13.0,0.8005557373537409,0.7958516968018923,0,8
3807,850,110.73156240095703,ATM,Travel,UK,18.0,0.2153376259248427,0.15259251201924906,1,8
965,627,493.36062656633965,ATM,Clothing,US,5.0,0.6201282181681123,0.4867351439363504,1,8
1771,918,25.06555020095121,QR,Travel,FR,8.0,0.08788005680222805,0.06814948487505074,0,8
8949,815,35.75783608029015,Online,Grocery,US,12.0,0.18776434194001196,0.15835285198461735,0,8
7003,228,381.6584746406009,POS,Electronics,UK,23.0,0.4891900615560624,0.1516288504344312,0,8
7111,912,0.0,QR,Travel,TR,10.0,0.09011725264724108,0.4156884059535695,0,8
8795,254,129.37720600104555,POS,Clothing,US,7.0,0.14678704247750204,0.4430847578364892,0,8
8544,964,142.22926734296294,QR,Clothing,TR,17.0,0.6410322280313467,0.21753747144138003,0,8
2295,479,43.72424823039874,ATM,Grocery,TR,10.0,0.09821977642580171,0.13200731895236412,0,8
4925,969,0.0,Online,Clothing,TR,21.0,0.17204122651132395,0.23587738462265118,0,8
6565,275,259.13089387802864,QR,Electronics,DE,10.0,0.35103309870044297,0.2462363507186191,0,8
8358,46,154.33474772736182,ATM,Travel,FR,6.0,0.2772712118022798,0.3124103179571333,0,8
7432,12,43.80667317364811,ATM,Grocery,FR,19.0,0.14767706210061304,0.23029547125411765,1,8
9955,507,86.84967567911377,Online,Electronics,UK,19.0,0.07402635535723949,0.10886279085981476,0,8
6382,816,332.34680115883805,Online,Clothing,FR,22.0,0.23584911249190377,0.3742127021458994,0,8
1865,946,102.72986475841876,POS,Food,FR,16.0,0.14800130151801144,0.3200094505863701,0,8
488,359,98.12013556842442,ATM,Travel,US,19.0,0.13932178993912522,0.12652064369963867,0,8
4419,636,68.75097775901088,Online,Electronics,TR,20.0,0.10883355733985818,0.12758881978172493,0,8
807,100,17.82047740648362,ATM,Food,US,16.0,0.5136205087082715,0.23591002876123485,0,8
8762,403,15.275330391503072,QR,Grocery,US,14.0,0.12639456576074062,0.16014962176853692,0,8
9849,851,110.27689353485377,ATM,Electronics,DE,16.0,0.1661518742785177,0.19624015815932494,0,8
4812,692,166.36083347247714,POS,Food,TR,15.0,0.12162152038381632,0.36656796480914833,0,8
5904,273,9.575701419305133,QR,Food,FR,21.0,0.2447535454904206,0.07370808632069305,0,8
5703,955,163.3564290172342,QR,Travel,TR,17.0,0.41277905659888225,0.07206758532469014,0,8
3132,661,13.892483000939084,Online,Electronics,TR,17.0,0.1440795715827806,0.1632354761216333,0,8
4079,956,0.0,ATM,Grocery,UK,23.0,0.21451006174622428,0.15511049900272167,0,8
3810,958,13.580146416676616,QR,Travel,DE,6.0,0.22523674724933918,0.20670236760144475,0,8
61,686,16.80542729779537,ATM,Travel,TR,23.0,0.07370627409377599,0.06536851784985288,0,8
8516,574,181.2714167894243,POS,Grocery,TR,12.0,0.16085221717405523,0.4706251838526772,0,8
3373,990,23.342648416887148,ATM,Travel,FR,18.0,0.10248334294825581,0.09275523832394372,0,8
7358,522,147.704364010168,Online,Electronics,UK,19.0,0.4513195827691535,0.3663957382324478,0,8
6450,958,309.4613444143836,POS,Clothing,UK,6.0,0.16826912139668013,0.2861609390990103,0,8
2177,139,0.0,Online,Electronics,FR,14.0,0.0915607831982013,0.16974642809275942,0,8
7023,757,86.24089313077963,Online,Food,DE,22.0,0.31443202329825626,0.08787370266515725,0,8
3696,937,16.526460564115908,Online,Electronics,TR,18.0,0.10953188495525673,0.13464108085793763,0,8
8649,9,336.22332978437396,ATM,Clothing,TR,13.0,0.3561556567596172,0.6537713924701374,0,8
2734,912,138.82876156165167,Online,Food,TR,14.0,0.24921592373479853,0.16993288915110494,0,8
2376,215,484.35061576596604,POS,Clothing,DE,19.0,0.6762828962724976,0.269771133460991,1,8
5104,61,269.4325548607533,POS,Electronics,DE,21.0,0.19616255604997698,0.162847384754644,0,8
1367,284,26.57228577391489,QR,Grocery,DE,4.0,0.11763988903562575,0.16219747455314604,0,8
393,942,44.74225130118583,Online,Electronics,US,22.0,0.12823443179036245,0.44005413140401384,0,8
4392,780,13.336015075999804,Online,Clothing,TR,21.0,0.12002191899590242,0.1407625535687601,0,8
5155,328,70.62162807157151,POS,Food,US,22.0,0.5009687133445527,0.345473651711473,0,8
4375,571,74.61658027319872,Online,Food,DE,23.0,0.28610092156590117,0.4350791133103544,0,8
5325,395,61.19995905936348,POS,Clothing,UK,14.0,0.23124016112622509,0.4677010888945247,0,8
3969,693,326.527551972399,QR,Food,DE,21.0,0.1338168356539081,0.39273152517001214,0,8
9867,48,39.670534168404906,ATM,Clothing,TR,19.0,0.18317582597127874,0.1549920037331631,0,8
7216,377,22.626903004196656,QR,Food,FR,8.0,0.0815328431596754,0.11986343373690506,0,8
5672,28,103.639239684883,POS,Clothing,DE,16.0,0.12719019437378506,0.1658471545929998,0,8
9790,310,20.959836363345097,POS,Clothing,US,17.0,0.1252442125970608,0.18810468115864382,0,8
5790,991,131.99086316100443,POS,Food,UK,5.0,0.10773507716582031,0.5597423594115198,0,8
8482,493,14.624577260467948,ATM,Clothing,US,22.0,0.2180462220007317,0.48670440714907925,0,8
6349,967,60.33297618002044,ATM,Grocery,TR,22.0,0.26016386474274145,0.12378806889702573,0,8
5005,714,445.7685197308289,POS,Grocery,UK,14.0,0.1947014389913376,0.12092845679877831,0,8
5451,182,94.40557105681783,QR,Grocery,UK,20.0,0.4799582048067824,0.9192317369494535,0,8
9990,64,24.039773271072853,QR,Food,UK,14.0,0.10531380423666109,0.11257873217095041,0,8
4253,9,5.274548528812947,Online,Electronics,FR,15.0,0.07926647866677107,0.1571547817671616,0,8
1573,154,4.381535572483713,ATM,Travel,TR,22.0,0.09870640863116088,0.06911517559638966,0,8
8190,564,50.51775660545251,Online,Travel,TR,8.0,0.21342574091692096,0.17430540917546497,0,8
5261,604,415.54602924188924,QR,Electronics,FR,10.0,0.14548877139302585,0.1379609618468554,0,8
2726,527,39.79819578432962,Online,Electronics,DE,16.0,0.13363267291832595,0.23542520222566918,0,8
4667,154,210.23292109744347,POS,Electronics,UK,23.0,0.17305264757064193,0.0984438435429833,0,8
5391,310,76.55289760443061,ATM,Electronics,DE,14.0,0.6020276092246564,0.4517441528474244,0,8
9614,960,56.91492699611501,Online,Clothing,TR,13.0,0.204423945139725,0.12678694572023091,0,8
2417,389,8.591837433089827,QR,Clothing,TR,20.0,0.1567100350801917,0.38018044414585783,0,8
8242,213,74.55622975709841,POS,Food,US,21.0,0.233110923287994,0.16359005650263428,1,8
83,685,11.80150058741294,POS,Grocery,DE,23.0,0.09869735371999663,0.13677086164050123,0,8
5922,537,79.26473988030233,Online,Electronics,DE,21.0,0.20514280585015504,0.3615176969164671,0,8
396,838,3.462721618550405,ATM,Clothing,TR,21.0,0.3444844672935591,0.24105062704386493,0,8
1261,295,97.88667698293547,POS,Electronics,US,14.0,0.30777599400991684,0.3333218956890529,0,8
8160,229,0.9936487711911699,QR,Food,FR,23.0,0.47081679472926424,0.23245016755376086,0,8
6493,105,245.61005791392574,ATM,Grocery,DE,7.0,0.4034431113145012,0.3576579629950715,0,8
7923,624,72.39861205799738,ATM,Clothing,US,18.0,0.21291263420240222,0.07073522223979961,0,8
8706,325,487.084411771233,QR,Grocery,US,4.0,0.29156914949761636,0.5869456071932558,0,8
4614,234,230.40771925033937,QR,Clothing,DE,13.0,0.14399513688473625,0.17773068977373618,0,8
5547,535,751.0342947351646,QR,Travel,DE,10.0,0.14096909090241605,0.2586995801686835,0,8
8941,402,302.26908384004815,POS,Travel,UK,20.0,0.11984655415701542,0.09510286499735973,0,8
1269,631,446.1656517035171,Online,Travel,US,15.0,0.16181995989650894,0.1631633219619195,0,8
4290,30,46.74735354725687,QR,Electronics,DE,18.0,0.5068979130845559,0.07806833597409213,0,8
2513,344,145.8233594544795,POS,Food,US,15.0,0.17274167048118433,0.17353265088099235,0,8
6880,693,149.45638084233462,POS,Food,UK,17.0,0.41918292228740045,0.24203482169788557,0,8
847,163,22.7735249166864,QR,Clothing,FR,18.0,0.4285247846056652,0.11169428186366498,0,8
9435,164,512.3323005649277,QR,Travel,FR,13.0,0.32830632853890257,0.27406678677909635,1,8
1084,53,576.6405416049515,QR,Electronics,DE,18.0,0.3838082678583044,0.3979791346629359,0,8
3745,211,26.468865511548966,POS,Food,DE,21.0,0.1889768357946298,0.17284729795203807,0,8
7479,633,85.07285568377299,QR,Electronics,UK,19.0,0.4182317782686366,0.20887859694452557,0,8
2093,450,4.124767394848127,ATM,Electronics,FR,10.0,0.06915796510289154,0.1425647686057137,0,8
2036,596,691.6322335084827,Online,Electronics,DE,13.0,0.5667832021093645,0.3317956638553313,0,8
5928,317,436.321860664387,QR,Food,US,14.0,0.12295490766317033,0.10166946237843469,0,8
3845,9,282.8530854315203,ATM,Clothing,FR,7.0,0.5429200083337689,0.27580388410851453,0,8
6588,442,3.4670596816623984,POS,Travel,US,17.0,0.09745327261293862,0.09469527489189894,0,8
2270,572,7.993777118260921,POS,Electronics,US,9.0,0.09616502168979554,0.11599788611679618,0,8
540,313,5.099781503076922,ATM,Electronics,US,18.0,0.16076847343136003,0.10171231619447232,0,8
2235,782,236.08825437418238,QR,Clothing,DE,3.0,0.549084294091561,0.16000627813793045,0,8
9950,717,15.100296658677124,POS,Travel,US,9.0,0.13700227378857716,0.09725358100005993,0,8
9868,478,317.6538308718316,QR,Food,TR,18.0,0.13649990122519956,0.1545661233532184,0,8
7668,703,53.57583110752914,ATM,Grocery,FR,23.0,0.21762003968488958,0.1106419349643195,0,8
3260,605,75.63861186457211,POS,Travel,US,23.0,0.09682678510232154,0.1277567584815987,0,8
474,165,250.30896592832644,Online,Clothing,UK,15.0,0.3154913708936739,0.2339324307913847,0,8
8961,275,80.41940404931321,Online,Clothing,UK,17.0,0.09248058928482963,0.10336418017249839,0,8
